"","X.attribute.medIncome.numeric","X.attribute.PctUnemployed.numeric","X.attribute.PctFam2Par.numeric","X.attribute.PctLargHouseOccup.numeric","X.attribute.RentMedian.numeric","X.attribute.NumStreet.numeric","X.attribute.NumInShelters.numeric","X.attribute.PolicPerPop.numeric","X.attribute.agePct12t29.numeric","X.attribute.PopDens.numeric","X.attribute.NumKindsDrugsSeiz.numeric","X.attribute.ViolentCrimesPerPop.numeric"
"1",0.37,0.27,0.55,0.13,0.35,0,0.04,"0.13",0.47,0.26,"0.57",0.2
"17",0.22,0.37,0.2,0.13,0.32,0.02,0.23,"0.3",0.72,0.39,"0.64",0.49
"21",0.33,0.59,0.6,0.39,0.4,0.09,0.12,"0.08",0.48,0.46,"0.57",0.34
"22",0.28,0.3,0.53,0.2,0.28,0.36,0.39,"0.16",0.53,0.07,"0.57",0.69
"24",0.22,0.33,0.59,0.24,0.17,0.01,0.05,"0.11",0.48,0.12,"0.86",0.63
"34",0.2,0.36,0.41,0.16,0.18,0,0.03,"0.19",0.56,0.11,"0.5",0.31
"36",0.19,0.45,0.47,0.12,0.17,0.01,0.05,"0.17",0.46,0.26,"0.5",0.24
"51",0.24,0.54,0.44,0.14,0.19,0,0.04,"0.2",0.48,0.26,"0.29",0.2
"52",0.38,0.44,0.59,0.53,0.47,0.03,0.1,"0.39",0.6,0.24,"0.57",0.68
"57",0.5,0.25,0.62,0.24,0.6,0.01,0.03,"0.11",0.49,0.32,"0.64",0.22
"59",0.34,0.33,0.58,0.16,0.25,0.09,0.17,"0.16",0.55,0.08,"0.5",0.55
"69",0.28,0.75,0.42,0.56,0.44,0,0.01,"0.28",0.55,0.73,"0.79",0.5
"75",0.41,0.3,0.56,0.16,0.4,0.01,0.02,"0.19",0.48,0.21,"0.21",0.14
"78",0.11,0.89,0.36,0.4,0.13,0,0.01,"0.16",0.43,0.06,"0.57",0.68
"79",0.15,0.62,0.42,0.22,0.16,0.13,0.05,"0.14",0.43,0.23,"0.07",0.7
"80",0.36,0.26,0.56,0.15,0.33,0,0.03,"0.14",0.52,0.14,"0.79",0.75
"81",0.41,0.4,0.47,0.31,0.44,0.02,0.15,"0.28",0.45,0.87,"0.64",0.3
"82",0.2,0.54,0.51,0.39,0.18,0.14,0.12,"0.13",0.54,0.2,"0",0.24
"96",0.37,0.49,0.58,0.2,0.55,0.01,0.07,"0.21",0.53,0.89,"0.07",0.37
"100",0.33,0.45,0.57,0.13,0.42,0,0.09,"0.15",0.56,0.25,"0.43",0.09
"101",0.21,0.61,0.59,0.22,0.22,0,0.04,"0.15",0.59,0.13,"0.43",0.39
"103",0.26,0.37,0.54,0.18,0.39,0.22,0.05,"0.21",0.33,0.37,"0.79",0.34
"104",0.22,0.42,0.62,0.24,0.21,0.05,0.16,"0.13",0.47,0.15,"0.79",0.28
"110",0.17,0.53,0.45,0.25,0.25,0.23,0.26,"0.15",0.6,0.22,"0.57",0.4
"114",0.54,0.24,0.59,0.25,0.75,0,0.07,"0.13",0.61,0.43,"0.93",0.2
"117",0.3,0.68,0.28,0.79,0.53,0.22,0.01,"0.17",0.62,1,"0.36",0.86
"120",0.4,0.27,0.52,0.1,0.46,0.84,0.19,"0.17",0.34,0.88,"0.57",0.68
"135",0.47,0.26,0.76,0.17,0.5,0,0,"0.18",0.37,0.53,"0.43",0.08
"146",0.29,0.73,0.39,0.38,0.45,0.11,0.11,"0.17",0.63,0.63,"0.43",0.53
"147",0.17,0.62,0.3,0.27,0.19,0.02,0.08,"0.25",0.64,0.25,"0.5",1
"149",0.23,0.38,0.37,0.25,0.17,0,0,"1",0.46,0.14,"0.71",0.63
"151",0.2,0.5,0.63,0.26,0.22,0,0.14,"0.15",0.56,0.15,"0.71",0.21
"152",0.21,0.47,0.39,0.17,0.23,0.07,0.06,"0.25",0.6,0.16,"0.29",0.86
"156",0.25,0.75,0.34,0.74,0.39,0.03,0.01,"0.22",0.58,1,"0.29",0.44
"159",0.25,0.27,0.45,0.09,0.33,0.08,0.13,"0.21",0.33,0.33,"0.29",0.48
"171",0.11,0.73,0.47,0.09,0.14,0.01,0.04,"0.17",0.52,0.31,"0.29",0.23
"175",0.28,0.62,0.36,0.3,0.47,0.38,0.12,"0.18",0.47,0.63,"0.71",0.73
"176",0.56,0.27,0.79,0.22,0.62,0,0.03,"0.16",0.45,0.34,"0.64",0.17
"178",0.29,0.74,0.25,0.5,0.42,0.61,0.27,"0.41",0.57,1,"0.71",0.83
"186",0.29,0.25,0.46,0.13,0.29,0,0.08,"0.07",0.6,0.19,"0.64",0.36
"187",0.52,0.2,0.77,0.2,0.55,0,0,"0.14",0.49,0.28,"0.57",0.12
"198",0.17,0.5,0.27,0.32,0.19,0,0.14,"0.06",0.54,0.18,"0.21",0.41
"206",0.23,0.4,0.54,0.11,0.31,0.19,0.27,"0.09",0.61,0.25,"0.93",0.16
"207",0.59,0.2,0.72,0.18,0.75,0.04,0,"0.12",0.44,0.54,"0.5",0.26
"223",0.17,0.4,0.23,0.34,0.25,0,0.2,"0.2",0.62,0.63,"0.57",0.36
"228",0.25,0.52,0.51,0.17,0.31,0,0,"0.2",0.49,0.7,"0.5",0.19
"230",0.25,0.35,0.22,0.19,0.31,0,0.01,"1",0.45,0.35,"0.79",0.42
"234",0.23,0.62,0.05,0.27,0.44,0.04,0.79,"0.32",0.69,0.58,"0.64",0.88
"244",0.27,0.63,0.51,1,0.51,0.35,0.17,"0.08",0.72,0.94,"0.79",0.54
"249",0.18,0.43,0.18,0.25,0.17,0.01,0.07,"0.25",0.52,0.2,"0.57",1
"251",0.33,0.22,0.48,0.18,0.31,0.24,0.31,"0",0.53,0.19,"0.57",0.74
"252",0.21,0.41,0.4,0.16,0.24,0.07,0.08,"0.26",0.42,0.15,"0.57",0.63
"256",0.17,0.27,0.39,0.23,0.24,0.02,0.02,"0.19",0.87,0.12,"0.64",0.93
"263",0.2,0.4,0.04,0.18,0.26,0.01,0.17,"0.31",0.54,0.28,"0.71",0.67
"267",0.24,0.44,0.41,0.29,0.21,0.01,0.06,"0.05",0.53,0.12,"0.21",0.35
"278",0.5,0.28,0.7,0.19,0.53,0.01,0,"0.18",0.36,0.23,"0.5",0.08
"294",0.24,0.38,0.44,0.19,0.31,0.03,0.06,"0.16",0.49,0.5,"0.36",0.28
"297",0.33,0.41,0.42,0.5,0.52,0.15,0.23,"0.13",0.6,0.72,"0.5",0.67
"306",0.7,0.19,0.65,0.13,0.95,0.01,0,"0.38",0.35,0.47,"0",0.45
"313",0.34,0.35,0.58,0.18,0.35,0.01,0,"0.26",0.41,0.91,"0.57",0.2
"314",0.14,0.77,0.35,0.23,0.14,0,0.02,"0.18",0.46,0.35,"0.5",0.51
"316",0.15,0.74,0.31,0.16,0.17,0,0.1,"0.25",0.41,0.37,"0.5",0.3
"324",0.18,0.64,0.66,0.23,0.23,0.01,0.01,"0.11",0.83,0.19,"0.36",0.27
"339",0.4,0.32,0.56,0.18,0.5,0,0.04,"0.19",0.5,0.42,"0.21",0.12
"346",0.25,0.32,0.59,0.16,0.23,0,0.09,"0.1",0.54,0.18,"0.43",0.18
"347",0.29,0.28,0.47,0.13,0.37,0.85,1,"0.09",0.49,0.51,"0.5",0.58
"363",0.13,0.62,0.18,0.27,0.13,0.53,0.32,"0.25",0.5,0.15,"0.57",1
"366",0.21,0.51,0.4,0.25,0.25,0.01,0.14,"0.2",0.46,0.24,"0.64",0.45
"367",0.17,0.59,0.38,0.25,0.13,0,0.13,"0.16",0.52,0.41,"0.57",0.32
"381",0.17,0.57,0.25,0.28,0.21,0,0.1,"0.19",0.52,0.67,"0.57",0.49
"385",0.26,0.67,0.41,0.42,0.41,0.1,0.04,"0.27",0.53,0.75,"0.93",0.54
"397",0.07,1,0.53,1,0.14,0.01,0.02,"0.1",0.65,0.3,"0.14",0.39
"402",0.2,0.59,0.18,0.34,0.27,0.12,0.3,"0.29",0.56,0.55,"0.79",0.4
"409",0.21,0.34,0.3,0.25,0.14,0,0.01,"0.2",0.47,0.16,"0.64",0.53
"414",0.21,0.61,0.01,0.4,0.24,0.89,0.67,"0.4",0.5,0.76,"0.64",1
"430",0.36,0.43,0.64,0.4,0.58,1,0.03,"0.1",0.53,0.26,"0.43",0.42
"432",0.27,0.49,0.37,0.36,0.37,0.61,0.75,"0.14",0.5,0.32,"0.79",0.53
"445",0.15,0.59,0.28,0.23,0.23,0.08,0.06,"0.26",0.52,0.11,"0.5",0.72
"448",0.31,0.67,0.16,0.52,0.46,0.06,0,"0.25",0.55,1,"0.57",1
"455",0.1,0.55,0.37,0.27,0.19,0.01,0.03,"0.17",0.69,0.11,"0.79",0.64
"465",0.17,0.53,0.41,0.15,0.19,0.13,0.15,"0.1",0.47,0.26,"0.57",0.33
"471",0.28,0.39,0.42,0.17,0.36,0.02,0.13,"0.18",0.52,0.2,"0.64",0.22
"478",0.35,0.38,0.62,0.66,0.59,0,0,"0.1",0.52,0.67,"0.5",0.37
"486",0.23,0.39,0.5,0.21,0.27,0.14,0.28,"0.14",0.73,0.18,"0.57",0.25
"494",0.78,0.2,0.92,0.24,0.69,0,0,"0.19",0.43,0.16,"0.79",0.05
"497",0.6,0.26,0.62,0.24,0.64,0.02,0.07,"0.19",0.46,0.29,"0.29",0.17
"500",0.23,0.73,0.36,0.59,0.37,0.31,0.48,"0.64",0.57,0.25,"0.43",1
"505",0.25,0.41,0.51,0.19,0.22,0,0.02,"0.15",0.53,0.18,"0.5",0.21
"506",0.14,0.45,0.38,0.11,0.17,0.3,0.21,"0.16",0.63,0.18,"0.5",0.7
"512",0.27,0.5,0.5,0.25,0.26,0,0.04,"0.17",0.51,0.31,"0.36",0.22
"514",0.39,0.26,0.55,0.2,0.56,0.08,0.13,"0.09",0.42,0.28,"0.57",0.22
"523",0.25,0.36,0.4,0.19,0.28,0.01,0.34,"0.2",0.68,0.28,"1",0.46
"526",0.26,0.39,0.5,0.19,0.28,0.26,0.15,"0.02",0.51,0.24,"0.64",0.66
"533",0.22,0.67,0.39,0.24,0.2,0.03,0.15,"0.2",0.53,0.35,"0.79",0.41
"545",0.23,0.74,0.33,0.42,0.4,0.06,0.11,"0.28",0.55,1,"0.36",0.36
"554",0.63,0.29,0.58,0.26,0.72,0.04,0.08,"0.27",0.46,0.24,"0.5",0.21
"558",0.27,0.35,0.56,0.2,0.22,0,0.12,"0.11",0.5,0.22,"0.36",0.36
"563",0.63,0.21,0.82,0.22,0.6,0,0.01,"0.23",0.36,0.27,"0.5",0.12
"565",0.32,0.55,0.44,0.65,0.51,1,1,"0.23",0.6,0.62,"0.86",1
"569",0.23,0.54,0.58,0.43,0.22,0.03,0.06,"0.11",0.52,0.16,"0.57",0.33
"573",0.38,0.36,0.7,0.14,0.41,0,0.05,"0.17",0.41,0.22,"0.64",0.07
"585",0.7,0.14,0.87,0.22,0.59,0,0,"0.14",0.36,0.24,"0.43",0.09
"587",0.17,0.74,0.19,0.35,0.12,0,0.02,"0.22",0.57,0.12,"0.79",0.56
"592",0.14,0.7,0,0.32,0.21,0.01,0.11,"0.28",0.49,0.54,"0.29",0.87
"597",0.53,0.29,0.59,0.27,0.51,0.01,0.32,"0.4",0.42,0.42,"0.57",0.15
"598",0.42,0.45,0.58,0.19,0.46,0,0.03,"0.15",0.51,0.13,"0.64",0.24
"601",0.3,0.6,0.29,0.39,0.4,1,1,"0.35",0.5,1,"0.64",0.87
"604",0.72,0.08,0.7,0.09,0.85,0.03,0.01,"0.14",0.39,0.2,"0.64",0.1
"605",0.22,0.35,0.36,0.3,0.32,0.04,0.03,"0.55",0.54,0.16,"0.86",0.59
"613",0.27,0.32,0.62,0.14,0.23,0,0,"0.12",0.44,0.12,"0.5",0.24
"631",0.13,1,0,0.53,0.12,0.05,0.05,"0.16",0.5,0.19,"0.36",0.89
"632",0.23,0.74,0.09,0.53,0.32,0.02,0.21,"0.43",0.53,0.97,"0.93",0.85
"638",0.33,0.61,0.44,0.37,0.45,0.02,0.15,"0.23",0.53,0.36,"0.64",0.54
"639",0.51,0.15,0.75,0.08,0.56,0,0,"0.17",0.34,0.19,"0.43",0.15
"640",0.26,0.13,0.66,0.14,0.26,0.04,0.06,"0.1",0.54,0.19,"0.43",0.18
"642",0.17,0.73,0,0.39,0.39,0.06,0.41,"0.35",0.68,0.68,"0.43",0.94
"663",0.34,0.21,0.52,0.1,0.33,0,0.13,"0.15",0.72,0.2,"0.86",0.35
"668",0.18,0.61,0,0.3,0.27,0.14,1,"0.02",0.57,0.25,"0.43",1
"670",0.29,0.54,0.19,0.3,0.52,0.5,1,"0.37",0.72,0.99,"0.57",0.81
"675",0.18,0.32,0.35,0.15,0.19,0.03,0.17,"0.24",0.44,0.19,"0.93",0.24
"677",0.17,0.43,0.33,0.17,0.18,0,0.09,"0.23",0.47,0.11,"0.5",0.81
"683",0.21,0.65,0.21,0.37,0.29,1,1,"0.43",0.51,0.98,"0.93",0.53
"692",0.21,0.47,0.32,0.27,0.25,0.04,0,"0.18",0.51,0.26,"0.29",0.54
"694",0.06,0.65,0,0.24,0.12,0.05,0.05,"0.68",0.49,0.19,"0.57",0.35
"696",0.26,0.48,0.41,0.37,0.31,0.67,0.7,"0.24",0.59,0.25,"0.57",0.72
"699",0.28,0.47,0.63,0.4,0.25,0.01,0,"0.13",0.56,0.23,"0.64",0.51
"705",0.8,0.13,0.69,0.05,1,0,0.03,"0.2",0.43,0.4,"0.5",0.16
"712",0.16,0.58,0.39,0.22,0.15,0.02,0,"0.12",0.52,0.3,"0.57",0.62
"727",0.22,1,0.25,1,0.43,0.19,0.02,"0.11",0.66,0.74,"0.5",0.9
"728",0.16,0.55,0.16,0.27,0.14,0.11,0.08,"0.22",0.52,0.19,"0.5",0.34
"730",0.42,0.32,0.58,0.37,0.58,0.01,0,"0.08",0.52,0.61,"0.5",0.21
"739",0.25,0.42,0.41,0.11,0.4,0,0.11,"0.22",0.57,0.24,"0.71",0.28
"740",0.7,0.12,0.85,0.21,0.46,0,0,"0.08",0.48,0.16,"0.64",0.13
"741",0.49,0.17,0.44,0.13,0.66,0,0.22,"0.21",0.58,0.61,"0.57",0.27
"748",0.4,0.32,0.76,0.16,0.47,0,0,"0.18",0.4,0.2,"0.79",0.17
"777",0.25,0.81,0,0.53,0.43,0.05,0.2,"0.33",0.51,1,"0.57",1
"778",0.21,0.45,0.35,0.15,0.27,0.02,0.18,"0.21",0.54,0.51,"0.57",0.43
"782",0.16,0.43,0.28,0.17,0.15,0,0.01,"0.24",0.53,0.1,"0.36",0.7
"784",0.12,0.76,0.31,0.38,0.12,0,0.02,"0.17",0.51,0.11,"0.43",0.61
"787",0.35,0.3,0.41,0.12,0.44,0.08,0.15,"0.28",0.77,1,"0.57",0.41
"791",0.45,0.35,0.43,0.18,0.63,0,0.05,"0.28",0.49,0.75,"0.64",0.18
"794",0.5,0.2,0.74,0.12,0.6,0,0,"0.16",0.42,0.26,"0.57",0.21
"816",0.63,0.24,0.85,0.22,0.63,0,0.06,"0.18",0.47,0.25,"0.14",0.06
"839",0.88,0.19,0.82,0.21,0.91,0.01,0.04,"0.26",0.35,0.1,"0.21",0.02
"841",0.4,0.27,0.68,0.24,0.33,0.01,0,"0.12",0.54,0.2,"0.5",0.23
"844",0.25,0.59,0.5,0.31,0.21,0.06,0.08,"0.21",0.48,0.31,"0.71",0.58
"846",0.32,0.74,0.56,0.86,0.49,0.2,0.04,"0.09",0.6,0.49,"0.86",0.5
"868",0.22,0.26,0.26,0.11,0.35,0.02,0.05,"0.72",0.37,0.29,"0.64",0.76
"869",0.33,0.31,0.58,0.21,0.37,0,0,"0.12",0.69,0.19,"0.71",0.17
"870",0.16,0.41,0.42,0.14,0.22,0.02,0.02,"0.2",0.91,0.2,"0.43",0.65
"875",0.26,0.31,0.43,0.12,0.41,0.02,0.04,"0.67",0.73,0.18,"0.79",0.35
"887",0.51,0.28,0.64,0.65,0.67,0,0,"0.08",0.55,0.5,"0.29",0.26
"891",0.56,0.27,0.67,0.12,0.62,0,0.01,"0.24",0.53,0.67,"0.43",0.2
"902",0.43,0.31,0.81,0.19,0.33,0,0,"0.98",0.39,0.19,"0.36",0.02
"907",0.4,0.37,0.52,0.41,0.62,0.04,0.08,"0.12",0.54,0.21,"0.5",0.46
"910",0.25,0.46,0.36,0.23,0.25,0.22,0.35,"0.25",0.49,0.12,"0.43",1
"917",0.63,0.21,0.8,0.13,0.6,0,0,"0.19",0.33,0.23,"0.57",0.09
